"dage","t","y","f","subject_id"
-4.5,16.3776823899435,0.821311312458726,0.810976636464898,1
-5,15.8776823899435,0.831867189229833,0.809207724802119,1
-8,12.8776823899435,0.802085553771599,0.799280474908686,1
-6,14.8776823899435,0.796457793367362,0.80578136633134,1
24.5,22.9804033236865,1.10974547236812,1.08823062711703,2
24.5,22.9804033236865,1.10974547236812,1.08823062711703,2
-10.25,13.1883053268134,0.77291903428096,0.765109018559056,3
-8.25,15.1883053268134,0.774492372320105,0.770891784689819,3
31.25,86.0165101336155,1.68947418306896,1.68024841815817,4
26.75,81.5165101336155,1.44105729607792,1.43072913277941,4
28.25,83.0165101336155,1.49479470220218,1.51390355551456,4
20.5,14.7605930054077,1.02647705422378,1.01956416502284,5
23.5,17.7605930054077,1.05963631495487,1.05497291303281,5
20.25,14.5105930054077,1.0113409990683,1.01678550614404,5
22,16.2605930054077,1.03337763997448,1.03681247412392,5
22.75,17.0105930054077,1.03345458139074,1.04577706885005,5
26,37.753599191136,1.29153016196335,1.30835601246958,6
29,40.753599191136,1.44639864603515,1.44130300859779,6
25,36.753599191136,1.26835054265394,1.26404034709351,6
26.75,38.503599191136,1.34146335252053,1.34159276150163,6
32.25,41.3298302722979,1.64755559542687,1.65240338702139,7
36.25,45.3298302722979,1.81119183366608,1.82617281718123,7
34,43.0798302722979,1.73585330181798,1.73791620330643,7
43.75,45.8399308407817,1.84302029877686,1.83388910973855,8
42.75,44.8399308407817,1.80335300770091,1.81188912994208,8
1,20.4525388010574,0.793215730280661,0.790091135524725,9
2.75,22.2025388010574,0.803163775539762,0.798135056844841,9
3.25,22.7025388010574,0.793721151115832,0.8005746474043,9
38.75,52.5425668492354,1.65307201390916,1.65763225199421,10
41.25,55.0425668492354,1.72311722601202,1.74055746419608,10
42.25,56.0425668492354,1.75766185048446,1.77134343527363,10
41,54.7925668492354,1.74362270100462,1.73250735687808,10
-5.5,16.0848750105001,0.820189185484344,0.812788169654358,11
-9,12.5848750105001,0.800244138957056,0.801446736035192,11
-8,13.5848750105001,0.799157759760797,0.804547526163044,11
-6.75,14.8348750105001,0.806349849358584,0.808566168958823,11
-8.25,13.3348750105001,0.799522538992198,0.803763820021558,11
-7.5,14.0848750105001,0.807347138886957,0.806132231930249,11
-4.75,3.2353097370084,0.834778292079547,0.822534502293764,12
-9.25,-1.2646902629916,0.802667029654143,0.807662722330323,12
48.75,60.2863048742246,1.96168108658756,1.9500012936268,13
42.75,54.2863048742246,1.9292241948451,1.93460775629127,13
45.25,56.7863048742246,1.93868270308529,1.94193969553963,13
41.75,53.2863048742246,1.9339285539455,1.93082466709523,13
6,12.8971688146576,0.818347925608645,0.824543286490519,14
5.25,12.1471688146576,0.805750664504557,0.820142098766222,14
9.5,16.3971688146576,0.864690333380926,0.848615876483225,14
-9.5,28.7661715249994,0.791766920268839,0.78825149783692,15
-7.75,30.5161715249994,0.791875123632211,0.79363320945039,15
25,43.8544905179019,1.0993165906045,1.09246764220281,16
28.75,47.6044905179019,1.16211952227328,1.1541773428139,16
25,43.8544905179019,1.0993165906045,1.09246764220281,16
32.75,56.1141612635837,1.2665302023741,1.26673123628523,17
27.5,50.8641612635837,1.15456183481062,1.16212401994046,17
27.5,50.8641612635837,1.15456183481062,1.16212401994046,17
7.5,24.5614101516229,0.8542830328047,0.851799023153738,18
9.5,26.5614101516229,0.85652151567293,0.866363206221597,18
11.5,9.60234991377065,0.866114956777649,0.871488738273201,19
17.75,15.8523499137707,0.980117813649834,0.968928049427129,19
12.5,10.6023499137707,0.871019363764288,0.88182888100881,19
8,37.2827428525345,0.839611689452194,0.831248704007592,20
8,37.2827428525345,0.839611689452194,0.831248704007592,20
11,40.2827428525345,0.84915204574463,0.855264973135488,20
7.25,36.5327428525345,0.820967348370432,0.826185227813195,20
11.75,11.4400252208357,0.89742832262078,0.89856831142116,21
14.5,14.1900252208357,0.907381868106074,0.928467201128196,21
31,43.4211741005098,1.62361732002746,1.59429280359202,22
30.25,42.6711741005098,1.57074574454046,1.55711690691839,22
31.75,71.2379636537333,1.31747760507332,1.31329677850621,23
26,65.4879636537333,1.16511921267307,1.1691760148979,23
-6.75,10.3280919736014,0.812093637187402,0.807374572164761,24
-8.75,8.32809197360139,0.807870487497943,0.801026103704087,24
2.5,32.6504221376179,0.839466334046307,0.850827801774288,25
-2.5,27.6504221376179,0.8224531347956,0.829091827572854,25
8,22.9072646978832,0.872787631001614,0.88733355403484,26
