"V1","V2","V3","V4"
1,0,0,1.00594303728353
1,0,1,-0.151137608006198
1,1,0,0.207777783922936
1,0,0,2.95391865180061
1,0,1,-0.81971778602903
1,1,1,0.35622121543287
1,1,1,0.639521319698415
1,1,1,-0.274981823558919
1,1,1,0.848041782112411
1,1,0,-0.388097760522621
1,0,0,0.788770122119565
1,0,1,0.504515325700356
1,1,1,1.18383333619992
1,1,1,0.452179840000973
1,0,1,1.27466913412534
1,0,0,-0.260521478375921
1,0,0,0.224676288732592
1,1,0,-0.297306723382389
1,1,1,0.22692245156033
1,1,0,0.720381157563349
1,1,0,-0.843892619498778
1,1,1,0.654899748972797
1,0,0,0.836537802030736
1,0,1,0.837495629013031
1,0,1,0.577998915892456
1,0,1,0.365634239028165
1,1,0,0.230393888223725
1,1,1,0.22027776603809
1,0,1,0.634707383693453
1,0,1,1.08547317165771
1,1,1,-0.299494375697803
1,1,0,2.22541121772072
1,1,0,-0.954600205429747
1,1,1,-0.832637151359792
1,0,0,-1.55452780085139
1,0,1,0.734610993702623
1,1,1,0.257073011398877
1,0,0,-0.825620925459943
1,1,1,-0.838300878776282
1,0,1,-0.0115939657994801
1,0,1,-1.36768918636008
1,0,1,0.476973580437138
1,0,0,1.13402973835659
1,1,0,0.79250667032057
1,1,0,-0.29327545426893
1,1,1,1.42993756804179
1,0,1,0.480126525204992
1,1,1,0.0186038239403841
1,0,0,0.955575025597065
1,1,0,0.977096909670618
1,0,1,2.34006229365715
1,0,1,0.128151529337207
1,1,0,1.12902373176546
1,0,1,-0.699874687146727
1,1,0,0.171672022534673
1,0,1,-0.798809962968414
1,0,1,0.858842500049757
1,1,0,0.019704405547239
1,1,0,-1.15233380335936
1,0,1,1.09151222561652
1,0,0,-0.510324110652952
1,0,0,-0.822654152654661
1,1,1,-0.777687443655692
1,1,1,-1.61946706693674
1,0,1,-0.316753007568784
1,1,0,-0.40066099024882
1,1,1,-0.99881532680542
1,1,1,-0.643912242373602
1,1,0,-0.519503460195454
1,0,0,-0.220073790379713
1,1,0,0.353637194034644
1,1,1,-0.794851399215168
1,1,0,-0.825112654505941
1,1,1,-1.67912615229468
1,0,0,-0.521831088906262
1,0,0,1.02607305095563
1,1,0,-0.261935123524262
1,0,0,0.606635118150188
1,0,0,-0.95737226923945
1,1,1,0.98565544732051
1,0,1,-0.892976273608869
1,0,1,-1.80767349932921
1,1,0,-0.370804941945261
1,0,1,0.510303759584016
1,0,1,-0.586131575485719
1,0,1,-0.22136906902568
1,0,1,-2.84074298072718
1,1,0,0.414908948214937
1,0,1,-0.133615774383784
1,1,0,1.07077105758156
1,1,1,-0.207965343713954
1,1,0,-1.17867436629034
1,0,0,-0.106598576034102
1,0,0,-0.24904970874481
1,1,0,-0.679927857209297
1,1,0,1.54902574487673
1,0,1,0.015483395178099
1,1,0,1.0559076510929
1,0,0,-0.609274617133851
1,0,0,0.302418393635011
1,1,1,-1.98928935172848
1,1,1,-0.992447943273385
1,0,1,-1.04775302205375
1,0,1,-0.418185314297512
1,0,1,0.247853535408224
1,1,1,0.75948450559349
1,1,0,1.03997758526852
1,0,0,0.616067577364824
1,1,1,2.08068381352886
1,0,1,0.7939615970028
1,0,1,0.416681712896625
1,1,0,-0.552590829774852
1,0,1,2.84743751256056
1,0,0,0.57215375122782
1,0,0,0.597460944410587
1,0,0,0.342483253327757
1,0,0,-1.52326872922083
1,1,0,0.0119659959158393
1,0,1,-1.35713768933332
1,0,1,0.61954901857592
1,0,1,-0.480933637207573
